1     1158 1 0 ELLX Luxembourg
100   60.05   1   0 0.00 1 3 0 06   49.61761388  006.18749852  106.99    0.00 3  2 0 1 24   49.63547288  006.23559852  106.99    0.00 3  2 1 1
102 H1   49.63124475  006.21661217 335.00   27.13   27.13   2 0   0 0.00 1
21   49.61906902  006.18996176  2  60.16   3.00 06  PAPI-4L
21   49.63368901  006.23224398  2 240.20   3.00 24  PAPI-4L
110   2 0.00 150.20 xxx
111  49.62592930  006.19792589   3 102 
111  49.62413189  006.19379922   3 102 
111  49.62343322  006.19452252   3 102 
111  49.62368890  006.19512883   3 102 
115  49.62315115  006.19568788 
120 Linear Feature 1
112  49.63495911  006.22736457  49.63458780  006.22768893  51 101 
115  49.63480375  006.22827398 
120 Linear Feature 1
111  49.62508111  006.20048483   3 102 
111  49.62591434  006.20121757   3 102 
111  49.62660025  006.19939341   3 102 
111  49.62552797  006.19844092   3 102 
115  49.62484223  006.20027448 
120 Linear Feature 30
111  49.62831354  006.20644280   3 102 
115  49.62802208  006.20666006 
120 Linear Feature 29
111  49.63020166  006.21376437   3 102 
111  49.63177894  006.21259174   3 102 
111  49.62960378  006.20548274   3 102 
115  49.62842959  006.20635710 
120 Linear Feature 28
111  49.63231692  006.22065407   3 102 
111  49.63457736  006.21897900   3 102 
111  49.63267839  006.21277377   3 102 
115  49.63041307  006.21445153 
120 Linear Feature 27
111  49.63579923  006.22840828   3 102 
111  49.63714362  006.23205903   3 102 
111  49.64337858  006.22648789   3 102 
111  49.64084973  006.21961249   3 102 
111  49.63461468  006.22518332   3 102 
115  49.63469487  006.22540044 
120 Linear Feature 16
112  49.62457802  006.20404464  49.62428731  006.20387092   3 102 
111  49.62453240  006.20365094   3 102 
111  49.62527116  006.20301556   3 102 
111  49.62565053  006.20318970   3 102 
111  49.62691678  006.20512179 
112  49.62691678  006.20512179  49.62697729  006.20521419   3 102 
112  49.62693640  006.20532978  49.62689551  006.20544537 
111  49.62693640  006.20532978 
112  49.62693640  006.20532978  49.62689904  006.20544015   3 102 
111  49.62684096  006.20540969   3 102 
115  49.62457802  006.20404464 
120 Linear Feature 12
112  49.62635927  006.21021474  49.62613171  006.20959132   3 102 
111  49.62611854  006.20921274   3 102 
111  49.62608291  006.20656585 
112  49.62608291  006.20656585  49.62607533  006.20567409   3 102 
111  49.62665242  006.20600716   3 102 
111  49.62743652  006.20646355 
112  49.62743652  006.20646355  49.62771334  006.20664200   3 102 
111  49.62786543  006.20698011   3 102 
111  49.62953559  006.21244162 
112  49.62953559  006.21244162  49.62981393  006.21335608   3 102 
111  49.62931076  006.21291941   3 102 
115  49.62635927  006.21021474 
120 Linear Feature 10
112  49.63031125  006.22085786  49.63020693  006.22057645   3 102 
111  49.63038918  006.22040662   3 102 
111  49.63143934  006.21948416 
112  49.63143934  006.21948416  49.63163821  006.21931606   3 102 
111  49.63173392  006.21962997   3 102 
111  49.63295644  006.22362779   3 102 
111  49.63651186  006.23329734 
112  49.63651186  006.23329734  49.63664211  006.23365192   3 102 
111  49.63640776  006.23388302   3 102 
111  49.63559461  006.23462509 
112  49.63559461  006.23462509  49.63546524  006.23473753   3 102 
115  49.63539867  006.23455986 
120 Linear Feature 22
111  49.61822651  006.18831199   3 102 
112  49.61844560  006.18737035  49.61890189  006.18707157 
111  49.61844560  006.18737035 
112  49.61844560  006.18737035  49.61874426  006.18717401   3 102 
111  49.61894936  006.18724906 
112  49.61894936  006.18724906  49.61918648  006.18727651   3 102 
111  49.61946030  006.18796810   3 102 
111  49.62125183  006.19275798   3 102 
111  49.62118574  006.19342952   3 102 
111  49.62064966  006.19385673   3 102 
115  49.62019906  006.19362320 
120 Linear Feature 23
111  49.61967409  006.18777756   3 102 
112  49.61901800  006.18670783  49.61857993  006.18612572 
111  49.61901800  006.18670783 
112  49.61901800  006.18670783  49.61857933  006.18614851   3 102 
111  49.61841335  006.18603995   3 102 
111  49.61795098  006.18645166   3 102 
115  49.61784876  006.18729157 
120 Linear Feature 26
111  49.62002274  006.19482507   1 
111  49.61544294  006.19858065   1 
115  49.62314378  006.20323173 
120 Linear Feature 24
111  49.62842959  006.20635710  20 
111  49.62482993  006.20075629  20 
111  49.61990377  006.18759199  20 
111  49.61980146  006.18768479  20 
111  49.62477698  006.20089360  20 
115  49.62831354  006.20644280 
120 Linear Feature 21
111  49.62066796  006.19488568   3 102 
111  49.62077272  006.19421038   3 102 
111  49.62129796  006.19377647   3 102 
111  49.62171450  006.19399494   3 102 
111  49.62449367  006.20142550   3 102 
111  49.62493321  006.20209581   3 102 
111  49.62507209  006.20273472   3 102 
111  49.62421059  006.20349528 
112  49.62421059  006.20349528  49.62394315  006.20370872   3 102 
115  49.62372644  006.20312290 
120 Linear Feature 20
111  49.62290757  006.19593015   3 102 
111  49.62283510  006.19600299   3 102 
111  49.62274210  006.19598030   3 102 
115  49.61967409  006.18777756 
120 Linear Feature 19
111  49.62355157  006.19764162   3 102 
111  49.62347978  006.19771757   3 102 
111  49.62337919  006.19768370   3 102 
111  49.62295732  006.19655577   3 102 
111  49.62299435  006.19641973   3 102 
115  49.62306417  006.19634626 
120 Linear Feature 18
112  49.62469071  006.20066505  49.62459165  006.20092340   3 102 
111  49.62448929  006.20065148   3 102 
111  49.62365016  006.19840814   3 102 
111  49.62368285  006.19825207   3 102 
115  49.62375262  006.19817325 
120 Linear Feature 17
111  49.62780059  006.20593892   3 102 
111  49.62486270  006.20147159 
112  49.62486270  006.20147159  49.62476771  006.20132753   3 102 
115  49.62487112  006.20104191 
120 Linear Feature 15
111  49.63231692  006.22065407   3 102 
115  49.62780059  006.20593892 
120 Linear Feature 14
112  49.62448607  006.20516885  49.62431948  006.20472021   3 102 
111  49.62458579  006.20480459   3 102 
111  49.62542826  006.20529483   3 102 
111  49.62578267  006.20591599   3 102 
111  49.62584241  006.20839461   3 102 
115  49.62573813  006.20854087 
120 Linear Feature 11
112  49.62707454  006.21214037  49.62679475  006.21138963   3 102 
111  49.62747969  006.21194856   3 102 
111  49.62970592  006.21389046 
112  49.62970592  006.21389046  49.63007517  006.21420862   3 102 
111  49.63013008  006.21438558   3 102 
111  49.63135004  006.21837480 
112  49.63135004  006.21837480  49.63143872  006.21866510   3 102 
111  49.63123326  006.21884267   3 102 
111  49.63016372  006.21977681 
112  49.63016372  006.21977681  49.62997218  006.21994395   3 102 
115  49.62986646  006.21965993 
120 Linear Feature 9
112  49.63469487  006.22540044  49.63409115  006.22593765   3 102 
111  49.63385425  006.22530491   3 102 
111  49.63317957  006.22346473   3 102 
115  49.63231692  006.22065407 
120 Linear Feature 8
111  49.63570729  006.23539107   3 102 
111  49.63709006  006.23486979   3 102 
111  49.63730471  006.23468151   3 102 
111  49.63545579  006.22965372 
112  49.63545579  006.22965372  49.63521487  006.22899950   3 102 
115  49.63579923  006.22840828 
120 Linear Feature 7
112  49.62071801  006.19406019  49.62020686  006.19448503  51 101 
111  49.61991137  006.19368629  51 101 
115  49.61970911  006.19314174 
120 Linear Feature 6
112  49.62133178  006.19260666  49.62160385  006.19333392  51 101 
115  49.62119053  006.19366782 
120 Linear Feature 5
112  49.62187417  006.19405733  49.62160373  006.19333401  51 101 
111  49.62119053  006.19366782  51 101 
111  49.62071801  006.19406019 
112  49.62071801  006.19406019  49.62020686  006.19448503  51 101 
111  49.62050500  006.19528494  51 101 
115  49.62069072  006.19578530 
120 Linear Feature 2
111  49.62597234  006.20837680  51 101 
111  49.62598362  006.20909446 
112  49.62598362  006.20909446  49.62602261  006.21014597  51 101 
111  49.62628591  006.21085477  51 101 
115  49.62682233  006.21229967 
120 Linear Feature 3
111  49.62971652  006.21260570  51 101 
112  49.62968049  006.21316018  49.62956479  006.21345606 
111  49.62968049  006.21316018 
112  49.62968049  006.21316018  49.62954921  006.21348141  51 101 
115  49.62926091  006.21320486 
120 Linear Feature 4
112  49.63006597  006.21299977  49.62966014  006.21329489  51 101 
115  49.62953326  006.21331127 
120 Linear Feature 1
112  49.62534176  006.20487084  49.62593504  006.20522462  51 101 
115  49.62593779  006.20626706 
120 Linear Feature 8
111  49.62671923  006.20568668  51 101 
112  49.62620618  006.20570323  49.62601875  006.20591487 
111  49.62620618  006.20570323 
112  49.62620618  006.20570323  49.62593258  006.20603681  51 101 
111  49.62593779  006.20626706  51 101 
111  49.62597234  006.20837680  51 101 
112  49.62582597  006.20882643  49.62566618  006.20896945 
111  49.62582597  006.20882643 
112  49.62582597  006.20882643  49.62560307  006.20901713  51 101 
111  49.62545677  006.20862187  51 101 
115  49.62519097  006.20790603 
120 Linear Feature 7
111  49.62696941  006.20494079  51 101 
112  49.62704294  006.20544429  49.62697554  006.20572535 
111  49.62704294  006.20544429 
112  49.62704294  006.20544429  49.62694457  006.20584402  51 101 
115  49.62671923  006.20568668 
120 Linear Feature 6
111  49.62438533  006.20358525  51 101 
112  49.62411680  006.20417609  49.62406124  006.20457944 
111  49.62411680  006.20417609 
112  49.62411680  006.20417609  49.62403735  006.20480204  51 101 
115  49.62427573  006.20544107 
120 Linear Feature 5
112  49.62488799  006.20177335  49.62545305  006.20263704  51 101 
115  49.62508526  006.20296138 
120 Linear Feature 4
112  49.62574482  006.20307739  49.62545532  006.20263295  51 101 
111  49.62508526  006.20296138  51 101 
111  49.62438533  006.20358525 
112  49.62438533  006.20358525  49.62378235  006.20411080  51 101 
115  49.62349047  006.20332601 
120 Linear Feature 3
111  49.62467316  006.20447434  51 101 
111  49.62418589  006.20418895 
112  49.62418589  006.20418895  49.62370238  006.20389673  51 101 
111  49.62349047  006.20332601  51 101 
115  49.62331897  006.20286415 
120 Linear Feature 2
112  49.62791795  006.20673499  49.62777289  006.20631640  51 101 
111  49.62715712  006.20594713  51 101 
111  49.62467316  006.20447434  51 101 
112  49.62432582  006.20466972  49.62419982  006.20499575 
111  49.62432582  006.20466972 
112  49.62432582  006.20466972  49.62415463  006.20511230  51 101 
111  49.62427573  006.20544107  51 101 
115  49.62458605  006.20627678 
120 Linear Feature 1
111  49.62738412  006.21154260  51 101 
111  49.62667452  006.21091497 
112  49.62667452  006.21091497  49.62614602  006.21048156  51 101 
111  49.62602261  006.21014597  51 101 
115  49.62545677  006.20862187 
120 Linear Feature 13
111  49.61956319  006.18787666  51 101 
112  49.61895952  006.18699245  49.61869109  006.18688779 
111  49.61895952  006.18699245  51 101 
112  49.61835395  006.18711707  49.61802513  006.18733589 
111  49.61835395  006.18711707 
112  49.61835395  006.18711707  49.61764869  006.18758978  51 101 
111  49.61801795  006.18858703  51 101 
115  49.61838828  006.18958386 
120 Linear Feature 11
112  49.63023913  006.21431155  49.63015003  006.21402057  51 101 
111  49.62926091  006.21320486  51 101 
111  49.62738412  006.21154260  51 101 
112  49.62691777  006.21147821  49.62676710  006.21163812 
111  49.62691777  006.21147821 
112  49.62691777  006.21147821  49.62663055  006.21177986  51 101 
111  49.62682233  006.21229967  51 101 
115  49.62706510  006.21295369 
120 Linear Feature 10
112  49.62358899  006.19798854  49.62341337  006.19817527  51 101 
115  49.62328876  006.19784042 
120 Linear Feature 9
112  49.62292980  006.19619709  49.62274377  006.19638536  51 101 
115  49.62285561  006.19668209 
120 Linear Feature 8
112  49.62406757  006.19592840  49.62385662  006.19614951  51 101 
111  49.62372888  006.19585621  51 101 
111  49.62366914  006.19572196 
112  49.62366914  006.19572196  49.62358354  006.19552975  51 101 
111  49.62345649  006.19566009  51 101 
111  49.62292980  006.19619709 
112  49.62292980  006.19619709  49.62274310  006.19638018  51 101 
115  49.62262150  006.19605590 
120 Linear Feature 7
111  49.62442388  006.19555653  51 101 
111  49.62406757  006.19592840 
112  49.62406757  006.19592840  49.62385662  006.19614951  51 101 
111  49.62399712  006.19647276  51 101 
111  49.62415338  006.19683575 
112  49.62415338  006.19683575  49.62431419  006.19721334  51 101 
111  49.62410100  006.19743649  51 101 
111  49.62358899  006.19798854 
112  49.62358899  006.19798854  49.62341239  006.19817072  51 101 
115  49.62351972  006.19845817 
120 Linear Feature 6
112  49.63657668  006.23310137  49.63682442  006.23377554  51 101 
111  49.63649282  006.23405984  51 101 
111  49.63569003  006.23477955 
112  49.63569003  006.23477955  49.63529522  006.23512306  51 101 
115  49.63504969  006.23445912 
120 Linear Feature 4
111  49.63474169  006.23362894  51 101 
111  49.63515797  006.23475033 
112  49.63515797  006.23475033  49.63537470  006.23533083  51 101 
111  49.63587652  006.23513749  51 101 
111  49.63685674  006.23477069 
112  49.63685674  006.23477069  49.63714314  006.23465954  51 101 
115  49.63698572  006.23421518 
120 Linear Feature 3
111  49.63737188  006.22906153  51 101 
111  49.63680973  006.22751820 
112  49.63680973  006.22751820  49.63630605  006.22616627  51 101 
115  49.63551242  006.22687164 
120 Linear Feature 3
111  49.63847388  006.22729153  51 101 
111  49.63812559  006.22634616 
112  49.63812559  006.22634616  49.63762191  006.22499753  51 101 
115  49.63682828  006.22569959 
120 Linear Feature 3
111  49.63987788  006.22671953  51 101 
111  49.63934224  006.22526227 
112  49.63934224  006.22526227  49.63883856  006.22391364  51 101 
115  49.63804493  006.22461570 
120 Linear Feature 3
111  49.64058388  006.22597953  51 101 
111  49.64007459  006.22461006 
112  49.64007459  006.22461006  49.63957849  006.22327900  51 101 
115  49.63877728  006.22396350 
120 Linear Feature 1
111  49.64058388  006.22597953  51 101 
111  49.64007459  006.22461006 
112  49.64007459  006.22461006  49.63957849  006.22327900  51 101 
111  49.63877728  006.22396350  51 101 
111  49.63495911  006.22736457 
112  49.63495911  006.22736457  49.63458780  006.22768893  51 101 
115  49.63437462  006.22710555 
120 Linear Feature 2
112  49.62903520  006.20963697  49.62884831  006.20977280  51 101 
115  49.62892623  006.21002614 
120 Linear Feature 2
112  49.63006597  006.21299977  49.62987907  006.21313561  51 101 
115  49.62995617  006.21338808 
120 Linear Feature 2
112  49.62974961  006.21196729  49.62956272  006.21210312  51 101 
115  49.62963985  006.21235547 
120 Linear Feature 2
112  49.62874122  006.20867678  49.62855433  006.20881261  51 101 
115  49.62863169  006.20906472 
120 Linear Feature 2
112  49.62922118  006.21024416  49.62903429  006.21037999  51 101 
115  49.62911182  006.21063194 
120 Linear Feature 2
112  49.62946974  006.21105604  49.62928285  006.21119187  51 101 
115  49.62936062  006.21144399 
120 Linear Feature 1
111  49.63012488  006.21056753  51 101 
111  49.62946974  006.21105604 
112  49.62946974  006.21105604  49.62928285  006.21119187  51 101 
115  49.62919656  006.21090850 
120 Linear Feature 1
111  49.62969388  006.20914653  51 101 
111  49.62903520  006.20963697 
112  49.62903520  006.20963697  49.62884831  006.20977280  51 101 
115  49.62876187  006.20948962 
120 Linear Feature 1
111  49.63114588  006.21218853  51 101 
111  49.63006597  006.21299977 
112  49.63006597  006.21299977  49.62987907  006.21313561  51 101 
115  49.62979215  006.21285252 
120 Linear Feature 1
111  49.63083088  006.21115853  51 101 
111  49.62974961  006.21196729 
112  49.62974961  006.21196729  49.62956272  006.21210312  51 101 
115  49.62947581  006.21182003 
120 Linear Feature 1
111  49.62959088  006.20804553  51 101 
111  49.62874122  006.20867678 
112  49.62874122  006.20867678  49.62855433  006.20881261  51 101 
115  49.62846772  006.20852951 
120 Linear Feature 1
111  49.63000088  006.20966353  51 101 
111  49.62922118  006.21024416 
112  49.62922118  006.21024416  49.62903429  006.21037999  51 101 
115  49.62894787  006.21009674 
120 Linear Feature 24
112  49.63167043  006.21556653  49.63176315  006.21586707  51 101 
115  49.63197764  006.21570812 
120 Linear Feature 24
112  49.63140485  006.21470719  49.63150042  006.21501252  51 101 
115  49.63171271  006.21484754 
120 Linear Feature 23
112  49.63071079  006.21477083  49.63043963  006.21496870  51 101 
115  49.63055720  006.21534981 
120 Linear Feature 22
111  49.63159419  006.21531886  51 101 
111  49.63140485  006.21470719 
112  49.63140485  006.21470719  49.63129375  006.21434975  51 101 
111  49.63108836  006.21449091  51 101 
111  49.63071079  006.21477083 
112  49.63071079  006.21477083  49.63043963  006.21496870  51 101 
115  49.63031773  006.21456820 
120 Linear Feature 21
