1      400 1 0 EDAR EDAR Pirna Pratzschwitz
100   49.99   3   0 0.00 0 0 1 12L  50.98130282  013.90242930    0.00    0.00 2  0 0 0 30R  50.97725307  013.91356862    0.00    0.00 2  0 0 0
100   70.10   3   0 0.00 0 0 0 12R  50.98055758  013.90175234    0.00    0.00 2  0 0 0 30L  50.97650781  013.91289236    0.00    0.00 2  0 0 0
110   4 0.00   0.00 Weg um den Flugplatz 5
111  50.97694796  013.91531315 
111  50.97668069  013.91520477 
111  50.97638167  013.91511898 
111  50.97617980  013.91505124 
111  50.97598646  013.91497448 
111  50.97583862  013.91492933 
111  50.97572204  013.91486159 
111  50.97561116  013.91476677 
111  50.97550880  013.91467194 
111  50.97543203  013.91457260 
111  50.97538370  013.91447778 
111  50.97534389  013.91441005 
111  50.97526428  013.91431071 
111  50.97520173  013.91426104 
113  50.97511927  013.91424297 
110   1 0.00  43.00 Vorplatz Werkstatt
111  50.98118596  013.91650516 
111  50.98110705  013.91639700 
111  50.98076981  013.91697558 
113  50.98084871  013.91709061 
110   2 0.00  38.00 Grosse rechteckige Flaeche 2
111  50.98024273  013.91550123 
111  50.98016923  013.91540852 
111  50.98011411  013.91552698 
113  50.98018761  013.91562141 
110   2 0.00  38.00 Grosse rechteckige Flaeche
111  50.98055157  013.91605535 
111  50.98047807  013.91596264 
111  50.98042295  013.91608110 
113  50.98049645  013.91617553 
110   4 0.00   0.00 Grundriss MoSe-Halle
111  50.98020136  013.91584761 
111  50.98005164  013.91567944 
111  50.97988682  013.91606737 
113  50.98003490  013.91623390 
110   4 0.00   0.00 Grundriss Vereinsheim
111  50.98059902  013.91632661 
111  50.98068550  013.91642790 
111  50.98081845  013.91616007 
113  50.98073414  013.91605878 
110   4 0.00   0.00 Grundriss Werkstatt
111  50.98130161  013.91666655 
111  50.98118488  013.91650859 
111  50.98084763  013.91709576 
113  50.98096545  013.91725714 
110   3 0.00   0.00 Modellflugplatz
111  50.97684011  013.90592178 
111  50.97641902  013.90685450 
111  50.97675146  013.90730327 
113  50.97717809  013.90635294 
110   1 0.00  35.00 Asphaltflaeche vor der MoSe-Halle
111  50.97989275  013.91607356 
111  50.97985960  013.91614955 
111  50.97977962  013.91606331 
111  50.97976732  013.91609309 
111  50.97990258  013.91623957 
111  50.97991365  013.91621272 
111  50.97990719  013.91620588 
113  50.97994039  013.91612825 
111  50.97990176  013.91609528 
111  50.97992747  013.91612413 
111  50.97989729  013.91619338 
113  50.97987214  013.91616408 
130 Airport Boundary
111  50.98035715  013.90867020 
111  50.98271606  013.90090853 
111  50.98097386  013.89948841 
111  50.97724276  013.90409155 
111  50.97474509  013.90754390 
111  50.97489927  013.90808256 
111  50.97469884  013.90859674 
111  50.97453796  013.90921068 
111  50.97455695  013.91075805 
111  50.97512762  013.91492759 
111  50.97737818  013.91562030 
111  50.97914540  013.91635309 
111  50.98107191  013.91758973 
111  50.98133379  013.91729524 
111  50.98166096  013.91665328 
111  50.98005549  013.91483965 
111  50.97911879  013.91370697 
113  50.97960168  013.91129006 
14   50.97752028  013.91444860    6 0 Tower
15   50.98032604  013.91593575  91.68 Auf dem Rasen
15   50.97791929  013.91534667 248.60 Auf dem Vorfeld
15   50.98013801  013.91682760 266.19 Stellplatz aussen
15   50.98085829  013.91688164 225.00 Vor der Werkstatt
19   50.98189239  013.90386800 0 Windsock
19   50.97689665  013.90595125 0 Windsock am Modellflugplatz
54 11863 Pirna Info
