1       18 1 0 LFKJ Ajaccio Napoleon Bonaparte
100   45.11   2   2 0.25 0 2 1 02   41.91175900  008.79493500    0.00   49.99 3  0 0 1 20   41.93140500  008.80718100  227.08   70.10 3  0 0 1
100   29.87   2   0 0.25 0 2 0 10   41.92444700  008.79174100    0.00   49.99 2  0 0 0 28   41.92372900  008.80440100   64.92    0.00 2  0 0 0
21   41.92753200  008.80530800  2 204.92   3.70  PAPI-4L
110   1 0.25  24.92 Taxiway
112  41.92270300  008.78961000  41.92268700  008.78964900  51 101 
112  41.92258200  008.78960000  41.92251800  008.78955400  51 101 
115  41.92229500  008.78939400 
120 Centreline for Path
111  41.92277800  008.79148100  51 
116  41.92313300  008.79151100  41.92320600  008.79151700 
120 Centreline for Path
111  41.92280300  008.79103500  51 
116  41.92316200  008.79107300  41.92323500  008.79108100 
120 Centreline for Path
111  41.92283300  008.79056500  51 
116  41.92319400  008.79059600  41.92326700  008.79060300 
120 Centreline for Taxi
111  41.92193100  008.79181900  51 101 
112  41.92193000  008.79194000  41.92192900  008.79206300  51 101 
112  41.92192700  008.79230800  41.92192600  008.79243100  51 101 
112  41.92192600  008.79241100  41.92192500  008.79253400  51 101 
112  41.92192200  008.79277900  41.92192100  008.79290200  51 101 
112  41.92192200  008.79281400  41.92192100  008.79293700  51 101 
112  41.92192000  008.79304500  41.92191900  008.79307600  51 101 
112  41.92191900  008.79314600  41.92191800  008.79318300  51 101 
112  41.92191700  008.79324000  41.92191700  008.79326700  51 101 
112  41.92191600  008.79338400  41.92191500  008.79345400  51 101 
112  41.92191400  008.79355100  41.92191300  008.79359200  51 101 
112  41.92191100  008.79379700  41.92191000  008.79392000  51 101 
112  41.92191100  008.79381600  41.92191000  008.79393900  51 101 
112  41.92190700  008.79418400  41.92190600  008.79430700  51 101 
112  41.92190600  008.79437000  41.92190500  008.79449300  51 101 
112  41.92198400  008.79470400  41.92203700  008.79480400  51 101 
112  41.92204800  008.79482500  41.92210100  008.79492500  51 101 
112  41.92218800  008.79508500  41.92222800  008.79515800  51 101 
112  41.92233700  008.79520700  41.92239600  008.79521600  51 101 
112  41.92256100  008.79524700  41.92265100  008.79526500  51 101 
112  41.92284500  008.79530300  41.92293600  008.79532100  51 101 
116  41.92297500  008.79539700  41.92297200  008.79544200 
120 Centreline for Taxi A
112  41.91668400  008.79463600  41.91651900  008.79453000  51 
112  41.91537000  008.79378800  41.91520500  008.79368100  51 
112  41.91492500  008.79350400  41.91479400  008.79342100  51 
112  41.91447300  008.79330400  41.91430200  008.79325300  51 
112  41.91411000  008.79322500  41.91404000  008.79322200  51 
112  41.91388500  008.79325900  41.91380600  008.79328400  51 
112  41.91362100  008.79337800  41.91352400  008.79343100  51 
112  41.91323000  008.79362000  41.91306600  008.79372900  51 
112  41.91307400  008.79372400  41.91291000  008.79383200  51 
112  41.91270700  008.79399300  41.91262600  008.79406400  51 
112  41.91251400  008.79419600  41.91246600  008.79426100  51 
112  41.91239400  008.79435800  41.91236200  008.79440100  51 
112  41.91226900  008.79464500  41.91221800  008.79479400  51 
116  41.91214300  008.79500700  41.91210900  008.79510000 
120 Centreline for Taxi T
112  41.91214300  008.79500700  41.91210900  008.79510000  51 
116  41.91246100  008.79537500  41.91270600  008.79552800 
120 Centreline for Taxi T
112  41.92269400  008.79846900  41.92261500  008.79842100  51 101 
112  41.92232700  008.79823900  41.92216200  008.79813400  51 101 
112  41.92192300  008.79798100  41.92175800  008.79787600  51 101 
112  41.92142800  008.79766500  41.92126300  008.79755900  51 101 
112  41.92129600  008.79758100  41.92113100  008.79747600  51 101 
112  41.92080100  008.79726500  41.92063600  008.79716000  51 101 
112  41.92058800  008.79712900  41.92042300  008.79702400  51 101 
112  41.92009300  008.79681300  41.91992800  008.79670700  51 101 
112  41.92000500  008.79675700  41.91984000  008.79665200  51 101 
112  41.91951000  008.79644100  41.91934500  008.79633600  51 101 
112  41.91935400  008.79634100  41.91918900  008.79623600  51 101 
112  41.91885900  008.79602500  41.91869400  008.79592000  51 101 
112  41.91870800  008.79592900  41.91854300  008.79582400  51 101 
112  41.91821300  008.79561300  41.91804800  008.79550800  51 101 
112  41.91805500  008.79551200  41.91789000  008.79540700  51 101 
112  41.91755900  008.79519600  41.91739400  008.79509100  51 101 
112  41.91743700  008.79511800  41.91727200  008.79501300  51 101 
112  41.91711400  008.79491200  41.91706400  008.79488100  51 101 
112  41.91698500  008.79483000  41.91694900  008.79480700  51 101 
116  41.91668400  008.79463600  41.91651900  008.79453000 
120 Centreline for Taxi D2
112  41.92269400  008.79846900  41.92277300  008.79851700  51 101 
112  41.92306300  008.79869300  41.92322900  008.79879400  51 101 
112  41.92324900  008.79880700  41.92341600  008.79890800  51 101 
112  41.92363200  008.79904100  41.92372100  008.79909500  51 101 
116  41.92389200  008.79919500  41.92397700  008.79924400 
120 Centreline for Taxi G1
112  41.92282000  008.79840700  41.92282400  008.79831700  51 101 
112  41.92284500  008.79790500  41.92285700  008.79766000  51 101 
112  41.92295100  008.79583100  41.92296400  008.79558600  51 101 
116  41.92297500  008.79539700  41.92297900  008.79535200 
120 Centreline for Taxi
112  41.92269400  008.79846900  41.92277300  008.79851700  51 101 
116  41.92282000  008.79840700  41.92282400  008.79831700 
120 Centreline for Taxi G2
112  41.92329300  008.79165900  41.92324800  008.79172800  51 101 
112  41.92320900  008.79205700  41.92319700  008.79225200  51 101 
112  41.92314400  008.79315600  41.92313300  008.79335200  51 101 
112  41.92310400  008.79374300  41.92308900  008.79393800  51 101 
112  41.92300400  008.79503700  41.92298900  008.79523200  51 101 
116  41.92297500  008.79539700  41.92297200  008.79544200 
120 Centreline for Taxi
112  41.92314400  008.79315600  41.92313300  008.79335200  51 101 
112  41.92301800  008.79343700  41.92294500  008.79342900  51 101 
112  41.92273500  008.79340500  41.92266200  008.79339600  51 101 
116  41.92254100  008.79348500  41.92248400  008.79354700 
120 Centreline for Taxi G3
112  41.92429600  008.79174700  41.92424300  008.79164600  51 
112  41.92415000  008.79153900  41.92410600  008.79150100  51 
116  41.92402800  008.79144600  41.92399000  008.79142100 
120 Centreline for Taxi
112  41.92402800  008.79144600  41.92399000  008.79142100  51 
112  41.92392800  008.79140500  41.92389900  008.79140200  51 
112  41.92383900  008.79139700  41.92380700  008.79139400  51 
112  41.92367600  008.79140500  41.92359800  008.79141300  51 
116  41.92346000  008.79148600  41.92339400  008.79153300 
120 Centreline for Taxi
112  41.92429600  008.79174700  41.92434800  008.79184700  51 
112  41.92435300  008.79185600  41.92440600  008.79195700  51 
116  41.92444000  008.79187000  41.92444400  008.79177800 
120 Centreline for Taxi D
112  41.92880400  008.80556300  41.92904900  008.80571600  51 
112  41.92927500  008.80549200  41.92934400  008.80529100  51 
112  41.92934200  008.80529900  41.92941100  008.80509800  51 
112  41.92948100  008.80486900  41.92950500  008.80478300  51 
112  41.92951900  008.80456700  41.92952100  008.80445200  51 
112  41.92949100  008.80424000  41.92947100  008.80413700  51 
112  41.92937700  008.80394000  41.92932000  008.80384300  51 
112  41.92912100  008.80355600  41.92900700  008.80339600  51 
112  41.92846400  008.80263500  41.92835000  008.80247600  51 
116  41.92820200  008.80226900  41.92814100  008.80218400 
120 Centreline for Taxi D1
112  41.92818400  008.80269300  41.92825700  008.80249500  51 
112  41.92820200  008.80226900  41.92814100  008.80218400  51 
112  41.92793400  008.80192500  41.92781700  008.80178100  51 
112  41.92755100  008.80152800  41.92741400  008.80140800  51 
112  41.92750300  008.80148600  41.92736500  008.80136500  51 
116  41.92707100  008.80116800  41.92692200  008.80107700 
120 Centreline for Taxi C
112  41.92783400  008.80495800  41.92758900  008.80480500  51 
112  41.92756700  008.80442500  41.92763400  008.80422400  51 
112  41.92764500  008.80418800  41.92771200  008.80398600  51 
112  41.92785500  008.80358800  41.92792800  008.80339000  51 
112  41.92818400  008.80269300  41.92825700  008.80249500  51 
116  41.92846400  008.80263500  41.92857800  008.80279500 
120 Centreline for Taxi
112  41.92597500  008.80049900  41.92612400  008.80059100  51 
112  41.92642400  008.80077400  41.92657300  008.80086500  51 
116  41.92707100  008.80116800  41.92722100  008.80125900 
120 Centreline for Taxi D1
112  41.92597500  008.80049900  41.92582600  008.80040700  51 
112  41.92479700  008.79977200  41.92464800  008.79968000  51 
112  41.92452500  008.79960200  41.92449200  008.79958100  51 
112  41.92425500  008.79942400  41.92410700  008.79932600  51 
112  41.92424000  008.79941400  41.92409300  008.79931700  51 
116  41.92403900  008.79890800  41.92405300  008.79866800 
120 Centreline for Taxi
112  41.92389200  008.79919500  41.92397700  008.79924400  51 101 
116  41.92403900  008.79890800  41.92405300  008.79866800 
120 Centreline for Taxi B
112  41.92293000  008.80189800  41.92268500  008.80174500  51 101 
112  41.92261300  008.80134600  41.92264800  008.80113000  51 101 
112  41.92267300  008.80089700  41.92267700  008.80081400  51 101 
112  41.92270800  008.80029600  41.92272700  008.79997800  51 101 
112  41.92278500  008.79901800  41.92280400  008.79870000  51 101 
116  41.92269400  008.79846900  41.92261500  008.79842100 
120 Centreline for Taxi F
112  41.92293000  008.80189800  41.92268500  008.80174500  51 101 
112  41.92250900  008.80181900  41.92247400  008.80191900  51 101 
112  41.92241200  008.80209600  41.92237700  008.80219600  51 101 
112  41.92232600  008.80233700  41.92230400  008.80239800  51 101 
112  41.92223900  008.80257700  41.92220400  008.80267700  51 101 
112  41.92194100  008.80340800  41.92190500  008.80350700  51 101 
116  41.92183500  008.80363500  41.92180000  008.80368600 
120 Centreline for Taxi
112  41.92183500  008.80363500  41.92180000  008.80368600  51 101 
112  41.92172300  008.80371400  41.92168200  008.80371500  51 101 
116  41.92155000  008.80364700  41.92147500  008.80360000 
120 Centreline for Taxi
112  41.91988000  008.80075500  41.91989800  008.80070000  51 101 
112  41.91999700  008.80040400  41.92005700  008.80022500  51 101 
112  41.92000000  008.80039600  41.92006000  008.80021700  51 101 
116  41.92045800  008.80035700  41.92070300  008.80051000 
120 Centreline for Taxi F
112  41.92155000  008.80364700  41.92147500  008.80360000  51 101 
112  41.92067100  008.80310200  41.92059600  008.80305600  51 101 
112  41.92044700  008.80296400  41.92037200  008.80291700  51 101 
112  41.92038700  008.80292600  41.92031200  008.80288000  51 101 
112  41.92016300  008.80278700  41.92008800  008.80274100  51 101 
112  41.92007000  008.80273000  41.91999500  008.80268300  51 101 
112  41.91984600  008.80259100  41.91977100  008.80254500  51 101 
112  41.91978500  008.80255300  41.91971000  008.80250700  51 101 
112  41.91956100  008.80241500  41.91948600  008.80236800  51 101 
112  41.91948300  008.80236600  41.91940800  008.80232000  51 101 
116  41.91925300  008.80222100  41.91917500  008.80217000 
120 Centreline for Taxi E1
112  41.91946000  008.80202800  41.91940100  008.80220700  51 101 
112  41.91925300  008.80222100  41.91917500  008.80217000  51 101 
112  41.91895800  008.80203900  41.91883800  008.80196700  51 101 
116  41.91856700  008.80196300  41.91842600  008.80198300 
120 Centreline for Taxi
112  41.92278100  008.78942100  41.92274600  008.78950700  51 101 
112  41.92277800  008.78958700  41.92281200  008.78961100  51 101 
112  41.92288100  008.78966400  41.92291500  008.78969100  51 101 
112  41.92300400  008.78976900  41.92305100  008.78981100  51 101 
112  41.92314500  008.78990900  41.92319200  008.78996000  51 101 
112  41.92324800  008.79008100  41.92326900  008.79014400  51 101 
112  41.92329600  008.79032500  41.92330700  008.79042400  51 101 
112  41.92330700  008.79054000  41.92330500  008.79058400  51 101 
112  41.92328700  008.79084500  41.92327600  008.79100500  51 101 
112  41.92326200  008.79122400  41.92325600  008.79131600  51 101 
112  41.92324800  008.79144100  41.92324400  008.79149400  51 101 
112  41.92323400  008.79164200  41.92322900  008.79172200  51 101 
112  41.92329300  008.79165900  41.92333800  008.79159000  51 101 
112  41.92330700  008.79145900  41.92327100  008.79139400  51 101 
116  41.92326200  008.79122400  41.92326800  008.79113100 
120 Centreline for Taxi E
112  41.91948300  008.80236600  41.91940800  008.80232000  51 101 
112  41.91946000  008.80202800  41.91951900  008.80184800  51 101 
112  41.91976300  008.80110600  41.91982200  008.80092700  51 101 
116  41.91988000  008.80075500  41.91989800  008.80070000 
120 Centreline for Taxi G4
112  41.92444000  008.79187000  41.92444400  008.79177800  51 
112  41.92463800  008.79175100  41.92476600  008.79176400  51 
112  41.92482600  008.79177000  41.92495300  008.79178300  51 
116  41.92510700  008.79179800  41.92516700  008.79180400 
120 Centreline for Taxi join
112  41.92190800  008.79762900  41.92175300  008.79775800  51 101 
116  41.92142800  008.79766500  41.92126300  008.79755900 
120 Centreline for Taxi join
112  41.92128200  008.79722900  41.92112700  008.79735800  51 101 
116  41.92080100  008.79726500  41.92063600  008.79716000 
120 Centreline for Taxi join
112  41.92057300  008.79677800  41.92041800  008.79690700  51 101 
116  41.92009300  008.79681300  41.91992800  008.79670700 
120 Centreline for Taxi join
112  41.91999100  008.79640400  41.91983600  008.79653400  51 101 
116  41.91951000  008.79644100  41.91934500  008.79633600 
120 Centreline for Taxi join
112  41.91933900  008.79599000  41.91918400  008.79611900  51 101 
116  41.91885900  008.79602500  41.91869400  008.79592000 
120 Centreline for Taxi join
112  41.91869400  008.79557700  41.91853900  008.79570600  51 101 
116  41.91821300  008.79561300  41.91804800  008.79550800 
120 Centreline for Taxi join
112  41.91804000  008.79516000  41.91788500  008.79528900  51 101 
116  41.91755900  008.79519600  41.91739400  008.79509100 
120 Centreline for Taxi join
112  41.91742200  008.79476600  41.91726700  008.79489500  51 101 
116  41.91711400  008.79491200  41.91706400  008.79488100 
120 Centreline for Taxi join
112  41.91698500  008.79483000  41.91702100  008.79485400  51 101 
116  41.91716500  008.79453800  41.91725000  008.79432000 
120 Centreline for Taxi join
112  41.92282000  008.79840700  41.92281500  008.79849600  51 101 
116  41.92306300  008.79869300  41.92322900  008.79879400 
120 Centreline for Taxi join
112  41.92282000  008.79840700  41.92281500  008.79849600  51 101 
116  41.92278500  008.79901800  41.92276600  008.79933600 
120 Centreline for Taxi join
112  41.92306300  008.79869300  41.92289600  008.79859200  51 101 
116  41.92278500  008.79901800  41.92276600  008.79933600 
120 Centreline for Taxi join
112  41.92301800  008.79343700  41.92309100  008.79344600  51 101 
116  41.92310400  008.79374300  41.92308900  008.79393800 
120 Centreline for Taxi join
112  41.92320900  008.79205700  41.92322000  008.79186100  51 101 
116  41.92323400  008.79164200  41.92323900  008.79156000 
120 Centreline for Taxi join
112  41.92273500  008.79340500  41.92266200  008.79339600  51 101 
116  41.92252000  008.79335700  41.92244900  008.79333300 
120 Centreline for Taxi join
112  41.92273500  008.79340500  41.92266200  008.79339600  51 101 
116  41.92256800  008.79326700  41.92253000  008.79318300 
120 Centreline for Taxi join
112  41.92300400  008.79503700  41.92298900  008.79523200  51 101 
116  41.92284500  008.79530300  41.92275500  008.79528500 
120 Centreline for Taxi
112  41.92346000  008.79148600  41.92339400  008.79153300  51 101 
116  41.92329300  008.79165900  41.92324800  008.79172800 
120 Centreline for Taxi
112  41.92346000  008.79148600  41.92339400  008.79153300  51 101 
116  41.92330700  008.79145900  41.92327100  008.79139400 
120 Centreline for Taxi
112  41.92435300  008.79185600  41.92440600  008.79195700  51 
116  41.92441200  008.79236700  41.92439800  008.79260700 
120 Centreline for Taxi C
112  41.92756700  008.80442500  41.92750000  008.80462700  51 
116  41.92709800  008.80449900  41.92685300  008.80434600 
120 Centreline for Taxi join
112  41.92389200  008.79919500  41.92397700  008.79924400  51 101 
116  41.92424000  008.79941400  41.92438800  008.79951200 
120 Centreline for Taxi join
112  41.92261300  008.80134600  41.92257900  008.80156100  51 101 
116  41.92250900  008.80181900  41.92247400  008.80191900 
120 Centreline for Taxi B
112  41.92261300  008.80134600  41.92257900  008.80156100  51 101 
116  41.92219400  008.80144000  41.92194900  008.80128700 
120 Centreline for Taxi F
112  41.92250900  008.80181900  41.92254400  008.80171900  51 101 
116  41.92219400  008.80144000  41.92194900  008.80128700 
120 Centreline for Taxi
112  41.91972200  008.79989900  41.91996700  008.80005200  51 101 
116  41.92000000  008.80039600  41.91994000  008.80057500 
120 Centreline for Taxi join
112  41.92051200  008.80316600  41.92054300  008.80307700  51 101 
116  41.92044700  008.80296400  41.92037200  008.80291700 
120 Centreline for Taxi join
112  41.92022800  008.80299000  41.92025900  008.80290100  51 101 
116  41.92016300  008.80278700  41.92008800  008.80274100 
120 Centreline for Taxi join
112  41.91991100  008.80279300  41.91994200  008.80270400  51 101 
116  41.91984600  008.80259100  41.91977100  008.80254500 
120 Centreline for Taxi join
112  41.91956100  008.80241500  41.91963600  008.80246100  51 101 
116  41.91962700  008.80261800  41.91959600  008.80270700 
120 Centreline for Taxi join
112  41.92270300  008.78961000  41.92272000  008.78957000  51 101 
116  41.92277800  008.78958700  41.92281200  008.78961100 
120 Centreline for Taxi join
112  41.92323400  008.79164200  41.92323900  008.79156000  51 101 
116  41.92313300  008.79151100  41.92306000  008.79150500 
120 Centreline for Taxi join
112  41.92313300  008.79151100  41.92320600  008.79151700  51 101 
116  41.92324800  008.79144100  41.92325100  008.79138800 
120 Centreline for Taxi join
112  41.92316200  008.79107300  41.92323500  008.79108100  51 101 
116  41.92328700  008.79084500  41.92329800  008.79068600 
120 Centreline for Taxi join
112  41.92316200  008.79107300  41.92323500  008.79108100  51 101 
116  41.92326200  008.79122400  41.92325600  008.79131600 
120 Centreline for Taxi join
112  41.92328700  008.79084500  41.92329800  008.79068600  51 101 
116  41.92319400  008.79059600  41.92312100  008.79059000 
120 Centreline for Taxi join
112  41.92330700  008.79054000  41.92330500  008.79058400  51 101 
116  41.92319400  008.79059600  41.92312100  008.79059000 
120 Centreline for Taxi
112  41.92324800  008.79144100  41.92325100  008.79138800  51 101 
116  41.92330700  008.79145900  41.92334300  008.79152400 
120 Centreline for Taxi join
112  41.92190700  008.79418400  41.92190800  008.79406100  51 101 
116  41.92179900  008.79399600  41.92172600  008.79399300 
120 Centreline for Taxi join
112  41.92179900  008.79399600  41.92187200  008.79399900  51 101 
116  41.92191100  008.79381600  41.92191200  008.79369300 
120 Centreline for Taxi join
112  41.92191100  008.79379700  41.92191200  008.79367400  51 101 
116  41.92180300  008.79361000  41.92173000  008.79360800 
120 Centreline for Taxi join
112  41.92180300  008.79361000  41.92187600  008.79361200  51 101 
116  41.92191400  008.79355100  41.92191500  008.79351000 
120 Centreline for Taxi join
112  41.92180800  008.79319900  41.92188100  008.79320000  51 101 
116  41.92191900  008.79314600  41.92191900  008.79311000 
120 Centreline for Taxi join
112  41.92180800  008.79319900  41.92188100  008.79320000  51 101 
116  41.92191700  008.79324000  41.92191700  008.79326700 
120 Centreline for Taxi join
112  41.92181000  008.79299700  41.92188300  008.79299800  51 101 
116  41.92192000  008.79304500  41.92191900  008.79307600 
120 Centreline for Taxi join
112  41.92181000  008.79299700  41.92188300  008.79299800  51 101 
116  41.92192200  008.79281400  41.92192300  008.79269100 
120 Centreline for Taxi join
112  41.92192000  008.79304500  41.92191900  008.79307600  51 101 
116  41.92202600  008.79305800  41.92209700  008.79303500 
120 Centreline for Taxi join
112  41.92191900  008.79314600  41.92191900  008.79311000  51 101 
116  41.92202600  008.79305800  41.92209700  008.79303500 
120 Centreline for Taxi join
112  41.92191700  008.79324000  41.92191700  008.79326700  51 101 
116  41.92202700  008.79327900  41.92210000  008.79327800 
120 Centreline for Taxi join
112  41.92202700  008.79327900  41.92195400  008.79328000  51 101 
116  41.92191600  008.79338400  41.92191500  008.79345400 
120 Centreline for Taxi join
112  41.92191600  008.79338400  41.92191500  008.79345400  51 101 
116  41.92202500  008.79348700  41.92209800  008.79348500 
120 Centreline for Taxi join
112  41.92191400  008.79355100  41.92191500  008.79351000  51 101 
116  41.92202500  008.79348700  41.92209800  008.79348500 
120 Centreline for Taxi join
112  41.92192200  008.79277900  41.92192300  008.79265600  51 101 
116  41.92181400  008.79259100  41.92174100  008.79258800 
120 Centreline for Taxi join
112  41.92181400  008.79259100  41.92188700  008.79259400  51 101 
