ADAM AIRCRAFT (USA);A-500, CarbonAero ;A500 ;2P/S ;NULL;NULL;II ;NULL
ANTONOV (Russia);An-70 ;AN70 ;4T/H ;NULL;NULL;III ;NULL
ANTONOV (Russia);An-74-100/200 ;AN72 ;2J/L ;NULL;NULL;III ;NULL
ANTONOV (Russia);An-124 Ruslan ;A124 ;4J/H ;NULL;NULL;III ;NULL
ANTONOV (Russia);An-140 ;A140 ;2T/L ;NULL;NULL;III ;NULL
ANTONOV (Russia);An-225 Mriya ;A225 ;6J/H ;NULL;NULL;III ;NULL
AVIATION DEVELOPMENT (USA);Alaskan Bushmaster ;ALBU ;1P/S ;NULL;NULL;I ;NULL
BEAGLE AIRCRAFT (UK);A-109 Airedale ;AIRD ;1P/S ;NULL;NULL;I ;NULL
BEAGLE AIRCRAFT (UK);B-121 Pup ;PUP ;1P/S ;575;750;I ;2
BEAGLE AIRCRAFT (UK);B-125 Bulldog ;BDOG ;1P/S ;NULL;NULL;I ;NULL
BEAGLE AIRCRAFT (UK);B-206 Basset ;BASS ;2P/S ;1,200 ;1,300 ;II ;8
BEECH AIRCRAFT COMPANY (USA);1900 (C-12J) ;B190 ;2T/S+ ;2,400 ;2,400 ;III ;7
BEECH AIRCRAFT COMPANY (USA);B300 Super King Air 350 ;B350 ;2T/S+ ;3,000 ;3,000 ;III ;7
BEECH AIRCRAFT COMPANY (USA);100 King Air (U-21F Ute) ;BE10 ;2T/S ;2,250 ;2,250 ;II ;7
BEECH AIRCRAFT COMPANY (USA);17 Stagger Wing (UC-43 Traveler, YC-43 Traveler) ;BE17 ;1P/S ;1,375 ;1,375 ;I ;2
BEECH AIRCRAFT COMPANY (USA);Twin Beech 18/Super H18 ;BE18 ;2P/S ;1,400 ;1,000 ;II ;4
BEECH AIRCRAFT COMPANY (USA);18 (turbine) ;B18T ;2T/S ;2,000 ;2,000 ;II ;NULL
BEECH AIRCRAFT COMPANY (USA);19 Musketeer Sport, Sport ;BE19 ;1P/S ;680;680;I ;1
BEECH AIRCRAFT COMPANY (USA);200, 1300 Super King Air, Commuter (C-12A to F, C-12L/R, UC-12, RC-12, Tp101, Huron) ;BE20 ;2T/S+ ;2,450 ;2,500 ;III ;7
BEECH AIRCRAFT COMPANY (USA);23 Musketeer, Sundowner ;BE23 ;1P/S ;740;800;I ;2
BEECH AIRCRAFT COMPANY (USA);24 Musketeer Super, Sierra ;BE24 ;1P/S ;1,000 ;1,000 ;I ;3
BEECH AIRCRAFT COMPANY (USA);300 Super King Air ;BE30 ;2T/S+ ;3,000 ;3,000 ;III ;6
BEECH AIRCRAFT COMPANY (USA);33 Debonair, Bonanza (E-24) ;BE33 ;1P/S ;1,000 ;1,000 ;I ;4
BEECH AIRCRAFT COMPANY (USA);35 Bonanza ;BE35 ;1P/S ;1,200 ;1,200 ;I ;3
BEECH AIRCRAFT COMPANY (USA);36 Bonanza (piston) ;BE36 ;1P/S ;1,100 ;1,100 ;I ;2
BEECH AIRCRAFT COMPANY (USA);36 Bonanza (turbine) ;B36T ;1/T/S ;NULL;NULL;I ;NULL
BEECH AIRCRAFT COMPANY (USA);400 Beechjet, Hawker 400 (T-1 Jayhawk, T-400) ;BE40 ;2J/S+ ;3,300 ;2,200 ;III ;8
BEECH AIRCRAFT COMPANY (USA);50 Twin Bonanza (U-8D/E/G, RU-8 Seminole) ;BE50 ;2P/S ;1,600 ;1,600 ;II ;4
BEECH AIRCRAFT COMPANY (USA);55 Baron (T-42 Chochise, C-55, E-20 ;BE55 ;2P/S ;1,700 ;1,700 ;II ;6
BEECH AIRCRAFT COMPANY (USA);56 Turbo Baron ;BE56 ;2P/S ;NULL;NULL;II ;NULL
BEECH AIRCRAFT COMPANY (USA);58 Baron ;BE58 ;2P/S ;1,730 ;1,730 ;II ;6
BEECH AIRCRAFT COMPANY (USA);60 Duke ;BE60 ;2P/S ;1,600 ;1,600 ;II ;8
BEECH AIRCRAFT COMPANY (USA);65 Queen Air (U-8F Seminole) ;BE65 ;2P/S ;1,300 ;1,300 ;II ;5
BEECH AIRCRAFT COMPANY (USA);70 Queen Air ;BE70 ;2P/S ;NULL;NULL;II ;NULL
BEECH AIRCRAFT COMPANY (USA);76 Duchess ;BE76 ;2P/S ;1,500 ;1,500 ;II ;4
BEECH AIRCRAFT COMPANY (USA);77 Skipper ;BE77 ;1P/S ;750;750;I ;1
BEECH AIRCRAFT COMPANY (USA);80 Queen Air (Zamir) ;BE80 ;2P/S ;1,275 ;1,275 ;II ;NULL
BEECH AIRCRAFT COMPANY (USA);88 Queen Air ;BE88 ;2P/S ;NULL;NULL;II ;NULL
BEECH AIRCRAFT COMPANY (USA);95 Travel Air ;BE95 ;2P/S ;1,250 ;1,250 ;II ;5
BEECH AIRCRAFT COMPANY (USA);99 Airliner ;BE99 ;2T/S ;1,750 ;1,750 ;II ;5
BEECH AIRCRAFT COMPANY (USA);90, A90 to E90 King Air (T-44 V-C6) ;BE9L ;2T/S ;2,000 ;2,000 ;II ;5
BEECH AIRCRAFT COMPANY (USA);F90 King Air ;BE9T ;2T/S ;2,600 ;2,600 ;II ;7
BEECH AIRCRAFT COMPANY (USA);2000 Starship ;STAR ;2T/S+ ;2,650 ;2,650 ;III ;7
BEECH AIRCRAFT COMPANY (USA);Premier 1, 390 ;PRM1 ;2J/S+ ;3,000 ;3,000 ;III ;NULL
BEECH AIRCRAFT COMPANY (USA);T34A/B, E-17 Mentor (45) ;T34P ;1P/S ;1,150 ;1,150 ;I ;1
BEECH AIRCRAFT COMPANY (USA);T-34C Turbo Mentor ;T34T ;1T/S ;1,100 ;1,000 ;I ;NULL
BEECH AIRCRAFT COMPANY (USA);T-6A Texan II ;TEX2* ;1T/S ;NULL;NULL;I ;NULL
BEECH AIRCRAFT COMPANY (USA);U-21A/G, EU-21, JU-21, RU-21, Ute (A90-1 to 4) ;U21 ;2T/S ;2,000 ;2,000 ;II ;NULL
BEECH AIRCRAFT COMPANY (USA);QU-22 (1074/1079) ;U22 ;1P/S ;NULL;NULL;I ;
BELLANCA AIRCRAFT (USA);Aeronca Chief/Super Chief, Pushpak ;AR11 ;1P/S ;500;500;I ;1
BELLANCA AIRCRAFT (USA);Aeronca Sedan ;AR15 ;1P/S ;500;500;I ;2
BELLANCA AIRCRAFT (USA);14 Junior, Cruiseair, Cruiseair Senior Cruisemaster ;B14A ;1P/S ;1,030 ;1,030 ;I ;1
BELLANCA AIRCRAFT (USA);14 Bellanca 260/A/B/C ;B14C ;1P/S ;1,500 ;NULL;I ;NULL
BELLANCA AIRCRAFT (USA);17 Viking, Super Viking,;BL17 ;1P/S ;1,100 ;1,100 ;I ;1
BELLANCA AIRCRAFT (USA);Turbo Viking ;;;;;;
BELLANCA AIRCRAFT (USA);19 Skyrocket ;BL19 ;1P/S ;NULL;NULL;I ;NULL
BELLANCA AIRCRAFT (USA);8 Decathlon, Scout ;BL8 ;1P/S ;1,000 ;1,000 ;I ;2
BELLANCA AIRCRAFT (USA);Champion Lancer 402 ;CH40 ;2P/S ;650;1,000 ;II ;NULL
BELLANCA AIRCRAFT (USA);7 ACA/ECA Champ, Citabria, ;CH7A ;1P/S ;750;750;I ;1
BELLANCA AIRCRAFT (USA);7 GCBC/KCAB Citabria ;CH7B ;1P/S ;1,100 ;1,100 ;I ;1
BELLANCA AIRCRAFT (USA);T-250 Aries ;T250 ;1P/S ;NULL;NULL;I ;NULL
BOEING COMPANY (USA);B-52 Stratofortress ;B52 ;8J/H ;3,000 ;3,000 ;III ;NULL
BOEING COMPANY (USA);707-100 (C-137B) ;B701 ;4J/H ;3,500 ;3,500 ;III ;9
BOEING COMPANY (USA);707-300(C-18, C-137C, E-8J-Stars, EC-18, EC-137, KC-137, T-17) ;B703 ;4J/H ;3,500 ;3,500 ;III ;9
BOEING COMPANY (USA);717-200 ;B712 ;2J/L ;NULL;NULL;III ;7
BOEING COMPANY (USA);720;B720 ;4J/L ;3,000 ;3,000 ;III ;9
BOEING COMPANY (USA);727-100 (C-22) ;B721 ;3J/L ;4,500 ;4,500 ;III ;7
BOEING COMPANY (USA);727-200 ;B722 ;3J/L ;4,500 ;4,500 ;III ;7
BOEING COMPANY (USA);727-100RE Super 27 ;R721 ;3J/L ;4,300 ;4,300 ;III ;NULL
BOEING COMPANY (USA);727-200RE Super 27 ;R722 ;3J/L ;4,300 ;4,300 ;III ;NULL
BOEING COMPANY (USA);737-100 ;B731 ;2J/L ;3,000 ;3,000 ;III ;7
BOEING COMPANY (USA);737-200 (Surveiller, CT-43, VC-96) ;B732 ;2J/L ;3,000 ;3,000 ;III ;7
BOEING COMPANY (USA);737-300 ;B733 ;2J/L ;5,500 ;3,500 ;III ;7
BOEING COMPANY (USA);737-400 ;B734 ;2J/L ;6,500 ;3,500 ;III ;8
BOEING COMPANY (USA);737-500 ;B735 ;2J/L ;5,500 ;3,500 ;III ;7
BOEING COMPANY (USA);737-600 ;B736 ;2J/L ;4,000 ;4,000 ;III ;7
BOEING COMPANY (USA);737-700, BBJ, C-40 ;B737 ;2J/L ;4,000 ;4,000 ;III ;8
BOEING COMPANY (USA);737-800, BBJ2 ;B738 ;2J/L ;4,000 ;4,000 ;III ;7
BOEING COMPANY (USA);737-900 ;B739 ;2J/L ;4,000 ;4,000 ;III ;8
BOEING COMPANY (USA);747-100 ;B741 ;4J/H ;3,000 ;3,000 ;III ;10
BOEING COMPANY (USA);747-200 (E-4, VC-25) ;B742 ;4J/H ;3,000 ;3,000 ;III ;10
BOEING COMPANY (USA);747-300 ;B743 ;4J/H ;3,000 ;3,000 ;III ;10
BOEING COMPANY (USA);747-400 (Domestic, no winglets) ;B74D ;4J/H ;3,000 ;3,000 ;III ;NULL
BOEING COMPANY (USA);747-400 (International, winglets) ;B744 ;4J/H ;3,000 ;3,000 ;III ;10
BOEING COMPANY (USA);747-400LCF Dreamlifter ;BLCF ;4J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);747SCA Shuttle Carrier ;BSCA ;4J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);747SR ;B74R ;4J/H ;3,000 ;3,000 ;III ;10
BOEING COMPANY (USA);747SP ;B74S ;4J/H ;3,000 ;3,000 ;III ;9
BOEING COMPANY (USA);757-200 (C-32) ;B752 ;2J/L ;3,500 ;2,500 ;III ;7
BOEING COMPANY (USA);757-300 ;B753 ;2J/L ;3,500 ;2,500 ;III ;8
BOEING COMPANY (USA);767-200 ;B762 ;2J/H ;3,500 ;3,500 ;III ;9
BOEING COMPANY (USA);767-300 ;B763 ;2J/H ;3,500 ;3,500 ;III ;9
BOEING COMPANY (USA);767-400 ;B764 ;2J/H ;3,500 ;3,500 ;III ;9
BOEING COMPANY (USA);777-200, 777-200ER ;B772 ;2J/H ;2,500 ;2,500 ;III ;9
BOEING COMPANY (USA);777-200LR, B777-200LRF ;B77L ;2J.H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);777-300 ;B773 ;2J/H ;2,500 ;2,500 ;III ;9
BOEING COMPANY (USA);777-300ER ;B77W ;2J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);787-3 Dreamliner, Dreamliner (Srs. 3) ;B783 ;2J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);787-8 Dreamliner, Dreamliner (Srs. 8) ;B788 ;2J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);787-9 Dreamliner, Dreamliner (Srs. 9) ;B789 ;2J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);C-135B/C/E/K Stratolifter (EC-135, NKC-135, OC-135, TC-135, WC-135) ;C135 ;4J/H ;2,000 ;2,000 ;III ;NULL
BOEING COMPANY (USA);C-17 Globemaster 3 ;C17 ;4J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);C-97 Stratofreighter ;C97 ;4P/L ;2,500 ;3,000 ;III ;NULL
BOEING COMPANY (USA);KC-135A Stratotanker (J57 engines) ;K35A ;4J/H ;2,500 ;3,000 ;III ;NULL
BOEING COMPANY (USA);KC 135D/E Stratotanker (TF33 engines) ;K35E ;4J/H ;5,000 ;3,000 ;III ;NULL
BOEING COMPANY (USA);KC 135R/T, C-135FR, Stratotanker (CFM56 engines) ;K35R ;4J/H ;5,000 ;3,000 ;III ;NULL
BOEING COMPANY (USA);KE-3 ;KE3 ;4J/H ;3,500 ;3,500 ;III ;NULL
BOEING COMPANY (USA);RC-135 ;R135 ;4J/H ;3,000 ;3,000 ;III ;NULL
BOEING COMPANY (USA);E-3A (TF33), E-B/C, JE-3, Sentry ;E3TF ;4J/H ;3,500 ;4,000 ;III ;NULL
BOEING COMPANY (USA);E-3A (CFM56), E-3D/F, Sentry ;E3CF ;4J/H ;NULL;NULL;III ;NULL
BOEING COMPANY (USA);E6 Mercury ;E6 ;4J/H ;3,500 ;3,500 ;III ;NULL
BOEING COMPANY (USA);E-767 ;E767 ;2J/H ;2,500 ;2,500 ;III ;NULL
BOEING COMPANY (USA);75 Kaydet (PT-13, PT-17, PT-18, PT-27, N2S) ;ST75 ;1P/S ;840;840;I ;
BOMBARDIER (Canada);BD-100 Challenger 300 ;CL30 ;2J/S+ ;3,500 ;3,500 ;III ;7
BOMBARDIER (Canada);BD-700 Global 5000 ;GL5T ;2J/L ;3,500 ;3,500 ;III ;7
BOMBARDIER (Canada);BD-700 Global Express, Sentinel ;GLEX ;2J/L ;NULL;NULL;III ;7
BRITISH AEROSPACE (BAe) (UK);BAe 748 (Andover, C-91) ;A748 ;2T/L ;2,500 ;2,000 ;III ;5
BRITISH AEROSPACE (BAe) (UK);ATP Advance Turboprop (ATP) ;ATP ;2T/L ;3,000 ;3,000 ;III ;6
BRITISH AEROSPACE (BAe) (UK);BAC-111 One-Eleven ;BA11 ;2J/L ;2,400 ;2,400 ;III ;7
BRITISH AEROSPACE (BAe) (UK);BAC-167 Strikemaster ;JPRO ;1J/S ;NULL;NULL;III ;NULL
BRITISH AEROSPACE (BAe) (UK);BAe HS 125 Series 1/2/3/400/600 ;H25A ;2J/S+ ;2,500 ;2,000 ;III ;6
BRITISH AEROSPACE (BAe) (UK);BAe-125-700/800 (C-29, U-125) ;H25B ;2J/S+ ;3,000 ;4,000 ;III ;7
BRITISH AEROSPACE (BAe) (UK);BAe-125-1000 ;H25C ;2J/S+ ;3,000 ;4,000 ;III ;7
BRITISH AEROSPACE (BAe) (UK);BAe-146-100 Statesman ;B461 ;4J/L ;3,500 ;3,500 ;III ;7
BRITISH AEROSPACE (BAe) (UK);BAe-146-200 Quiet Trader, Statesman ;B462 ;4J/L ;3,500 ;3,500 ;III ;7
BRITISH AEROSPACE (BAe) (UK);BAe-146-300 ;B463 ;4J/L ;NULL;NULL;III ;7
BRITISH AEROSPACE (BAe) (UK);BAe-3100 Jetstream 31 (T.Mk.3) ;JS31 ;2T/S+ ;2200;2200;III ;5
BRITISH AEROSPACE (BAe) (UK);BAe-3200 Jetstream Super 31 ;JS32 ;2T/S+ ;2600;2600;III ;5
BRITISH AEROSPACE (BAe) (UK);BAe-4100 Jetstream 41 ;JS41 ;2T/S+ ;2200;;III ;7
BRITISH AEROSPACE (BAe) (UK);Harrier, Sea Harrier ;HAR* ;1J/L ;5,000 ;8,000 ;III ;NULL
BRITISH AEROSPACE (BAe) (UK);Hawk, T-45 Goshawk, CT-155 Hawk ;HAWK ;1J/S+ ;NULL;NULL;III ;NULL
BRITISH AEROSPACE (BAe) (UK);Jetstream 1 ;JS1 ;2T/S+ ;2,200 ;2,200 ;III ;NULL
BRITISH AEROSPACE (BAe) (UK);Jetstream 3 ;JS3 ;2T/S+ ;2,200 ;2,300 ;III ;NULL
BRITISH AEROSPACE (BAe) (UK);Jetstream 200 ;JS20 ;2T/S+ ;2,200 ;2,200 ;III ;NULL
BRITISH AEROSPACE (BAe) (UK);Nimrod ;N1M ;4J/L ;NULL;NULL;III ;NULL
BRITISH AEROSPACE (BAe) (UK);RJ-70 ;RJ70 ;4J/L ;NULL;NULL;III ;7
BRITISH AEROSPACE (BAe) (UK);RJ-85 ;RJ85 ;4J/L ;NULL;NULL;III ;7
BRITISH AEROSPACE (BAe) (UK);RJ-100 ;RJ1H ;4J/L ;NULL;NULL;III ;7
BRITISH AEROSPACE (BAe) (UK);Tornado ;TOR ;2J/L ;NULL;NULL;III ;
BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK);BN-2, BN-2A/B Islander, Defender, Maritime Defender ;BN2P ;2P/S ;1,250 ;1,250 ;II ;1
BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK);BN-2T Turbine Islander, Turbine Defender;BN2T ;2T/S ;1,500 ;1,500 ;II ;1
BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK);Trident ;TRID ;3J/L ;3,000 ;3,000 ;III ;NULL
BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK);BN-2A Mk3 Trislander ;TRIS ;3P/S ;1,200 ;1,000 ;III ;2
BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK);VC-10 ;VC10 ;4J/H ;1,900 ;2,000 ;III ;NULL
BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK);Viscount ;VISC ;4T/L ;1,200 ;1,500 ;III ;10
CAMAIR AIRCRAFT CORP. (USA);480 Twin Navion 480 ;TNAV ;2P/S ;1,800 ;2,000 ;II ;NULL
CANADAIR BOMBARDIER LTD. (Canada);CL-41 Tutor (CT-114) ;CL41 ;1J/S ;NULL;NULL;III ;NULL
CANADAIR BOMBARDIER LTD. (Canada);CL-44 Forty Four ;CL44 ;4T/L ;NULL;NULL;III ;NULL
CANADAIR BOMBARDIER LTD. (Canada);CL-44-O Guppy ;CL4G ;4T/L ;NULL;NULL;III ;NULL
CANADAIR BOMBARDIER LTD. (Canada);CL-66, CV-580 (CC-109 Cosmopolitan) ;CVLT ;2T/L ;1,500 ;1,500 ;III ;NULL
CANADAIR BOMBARDIER LTD. (Canada);CL-600/Challenger 699/601/604 (CC-144, CE-144) ;CL60 ;2J/L ;2,250 ;3,000 ;III ;8
CANADAIR BOMBARDIER LTD. (Canada);CL-600 Regional Jet CRJ-100, RJ-100 ;CRJ1 ;2J/L ;NULL;NULL;III ;7
CANADAIR BOMBARDIER LTD. (Canada);CL-600, Regional Jet CRJ-200, RJ-200 ;CRJ2 ;2J/L ;NULL;NULL;III ;7
CANADAIR BOMBARDIER LTD. (Canada);CL-600 Regional Jet CRJ-700 ;CRJ7 ;2J/L ;NULL;NULL;III ;7
CANADAIR BOMBARDIER LTD. (Canada);CL-600 Regional Jet CRJ-900 ;CRJ9 ;2J/L ;NULL;NULL;III ;8
CANADAIR BOMBARDIER LTD. (Canada);T-33, CT-133 Silver Star (CL-30) ;T33 ;1J/L ;2,000 ;2,000 ;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);A-37 Dragonfly (318D/E), OA-37 ;A37* ;2J/S ;3,370 ;3,000 ;III ;NULL
CESSNA AIRCRAFT COMPANY (USA);120;C120 ;1P/S ;640;640;I ;1
CESSNA AIRCRAFT COMPANY (USA);140;C140 ;1P/S ;640;640;I ;3
CESSNA AIRCRAFT COMPANY (USA);150, A150, Commuter, Aerobat ;C150 ;1P/S ;670;1,000 ;I ;1
CESSNA AIRCRAFT COMPANY (USA);152, A152, Aerobat ;C152 ;1P/S ;750;1,000 ;I ;1
CESSNA AIRCRAFT COMPANY (USA);170;C170 ;1P/S ;690;1,000 ;I ;4
CESSNA AIRCRAFT COMPANY (USA);172, P172, R172, Skyhawk, Hawk XP, Cutlass (T-41, Mescalero) ;C172 ;1P/S ;650;1,000 ;I ;1
CESSNA AIRCRAFT COMPANY (USA);172RG, Cutlass RG ;C72R ;1P/S ;650;1,000 ;I ;1
CESSNA AIRCRAFT COMPANY (USA);175, Skylark ;C175 ;1P/S ;850;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);177, Cardinal ;C177 ;1P/S ;850;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);177, Cardinal RG ;C77R ;1P/S ;850;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);180, Skywagon 180 (U-17C) ;C180 ;1P/S ;1,130 ;1,130 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);182, Skylane ;C182 ;1P/S ;890;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);R182, TR182 (Turbo) Skylane RG ;C82R ;1P/S ;890;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);185, A185 Skywagon, Skywagon 185, AgCarryall (U-17A/B) ;C185 ;1P/S ;1,000 ;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);188, A188, T188 AgWagon, AgPickup AgTruck, AgHusky ;C188 ;1P/S ;1,000 ;1,000 ;I ;1
CESSNA AIRCRAFT COMPANY (USA);190;C190 ;1P/S ;1,090 ;1,090 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);195 (LC-126) ;C195 ;1P/S ;1,200 ;1,200 ;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);205;C205 ;1P/S ;965;1,000 ;I ;3
CESSNA AIRCRAFT COMPANY (USA);206, P206m T206m TP206, U206, TU206, (Turbo) Super Skywagon, (Turbo) Super Skyland, (Turbo) Skywagon 206, (Turbo) Stationair, Turbo Stationair 6 ;C206 ;1P/S ;975;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);206 (turbine) ;C06T ;1/T/S ;NULL;NULL;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);207 (Turbo) Skywagon 207, (Turbo) Stationair 7/8 ;C207 ;1P/S ;810;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);207 (turbine) ;C07T ;1T/S ;NULL;NULL;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);208 Caravan 1, (Super), Cargomaster, Grand Caravan (C-98, U27) ;C208 ;1T/S ;1,400 ;1,400 ;I ;3
CESSNA AIRCRAFT COMPANY (USA);210, T210, (Turbo) Centurion ;C210 ;1P/S ;900;1,000 ;I ;2
CESSNA AIRCRAFT COMPANY (USA);P210 Pressurized Centurion ;P210 ;1P/S ;1,000 ;1,000 ;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);P210 (turbine) ;C10T ;1T/S ;NULL;NULL;I ;NULL
CESSNA AIRCRAFT COMPANY (USA);T303 Crusader ;C303 ;2P/S ;3,500 ;3,000 ;II ;2
